"name","male","popularity","component","GNpartition","LVpartition"
"rachelerman",0,7139,1,1,1
"mattmcilwain",1,2804,1,1,1
"DaveParkerSEA",1,3328,1,1,2
"toddbishop",1,24500,1,1,3
"ashannstew",0,3382,1,1,1
"LeslieFeinzaig",0,15900,1,1,2
"akipman",1,29500,1,2,1
"matt_oppy",1,4847,1,1,1
"gilbert",1,25800,1,1,4
"juliesandler",0,7031,1,1,1
"BradSmi",1,96300,1,1,1
"crashdev",0,8773,1,1,1
"ShaunaCausey",0,47400,1,1,3
"john_gabbert",1,2482,1,1,1
"moniguzman",0,29000,1,1,3
"mattmday",1,5750,1,1,3
"Rich_Barton",1,31300,1,1,4
"daryn",1,2378,1,1,3
"lovelletters",0,4553,1,1,1
"etzioni",1,27400,1,1,1
"MissDestructo",0,41800,1,1,2
"heatherredman",0,3957,1,1,2
"danshapiro",1,10900,1,1,4
"medinism",1,2084,1,1,3
"KieranSnyder",0,15400,1,1,4
"hadip",1,43300,1,1,4
"RajSinghSeattle",1,4991,1,1,1
"funcOfJoe",1,9510,1,1,1
"kirbywinfield",1,6230,1,1,4
"stevesi",1,206666,1,1,4
"Ryanintheus",1,194239,1,1,2
"sonalpmane",0,1215,1,1,2
"SoGulley",0,965,1,1,2
"jinman",1,4781,1,1,3
"Jenerationy",0,13272,1,1,3
"lanctot",1,5519,1,1,3
"Kristen_Hammy",0,1196,1,1,4
"nhuntwalker",1,5032,1,1,2
"JenMsft",0,90185,1,2,4
"PeterHamilton",1,7329,1,1,3
"sarahstood",0,1118,1,1,3
"mcolacurcio",0,2039,1,1,3
"marybethlambert",0,1010,1,1,2
